"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 12, 2005","1.170","1.170","1.170","1.170","-","0.00%"
"Apr 13, 2005","1.170","1.170","1.170","1.170","-","0.00%"
"Apr 14, 2005","1.170","1.170","1.170","1.170","-","0.00%"
"Apr 15, 2005","1.170","1.170","1.170","1.170","-","0.00%"
"Apr 18, 2005","1.170","1.170","1.170","1.170","-","0.00%"
"Apr 19, 2005","1.190","1.190","1.190","1.190","-","1.71%"
"Apr 20, 2005","1.190","1.190","1.190","1.190","-","0.00%"
"Apr 21, 2005","1.190","1.190","1.190","1.190","-","0.00%"
"Apr 22, 2005","1.190","1.190","1.190","1.190","-","0.00%"
"Apr 25, 2005","1.190","1.190","1.190","1.190","-","0.00%"
"Apr 26, 2005","1.190","1.190","1.190","1.190","-","0.00%"
"Apr 27, 2005","1.160","1.160","1.160","1.160","-","-2.52%"
"Apr 28, 2005","1.150","1.150","1.150","1.150","-","-0.86%"
"Apr 29, 2005","1.150","1.150","1.150","1.150","-","0.00%"
"May 02, 2005","1.150","1.150","1.150","1.150","-","0.00%"
"May 03, 2005","1.180","1.180","1.180","1.180","-","2.61%"
"May 04, 2005","1.180","1.180","1.180","1.180","-","0.00%"
"May 05, 2005","1.180","1.180","1.180","1.180","-","0.00%"
"May 06, 2005","1.180","1.180","1.180","1.180","-","0.00%"
"May 09, 2005","1.180","1.180","1.180","1.180","-","0.00%"
"May 10, 2005","1.180","1.180","1.180","1.180","-","0.00%"
"May 12, 2005","1.160","1.160","1.160","1.160","-","-1.69%"
"May 13, 2005","1.160","1.160","1.160","1.160","-","0.00%"
"May 16, 2005","1.160","1.160","1.160","1.160","-","0.00%"
"May 17, 2005","1.170","1.170","1.170","1.170","-","0.86%"
"May 18, 2005","1.180","1.180","1.180","1.180","-","0.85%"
"May 19, 2005","1.190","1.190","1.190","1.190","-","0.85%"
"May 20, 2005","1.170","1.170","1.170","1.170","-","-1.68%"
"May 23, 2005","1.180","1.180","1.180","1.180","-","0.85%"
"May 24, 2005","1.180","1.180","1.180","1.180","-","0.00%"
"May 25, 2005","1.190","1.190","1.190","1.190","-","0.85%"
"May 26, 2005","1.190","1.190","1.190","1.190","-","0.00%"
"May 27, 2005","1.200","1.200","1.200","1.200","-","0.84%"
"May 31, 2005","1.200","1.200","1.200","1.200","-","0.00%"
"Jun 01, 2005","1.210","1.210","1.210","1.210","-","0.83%"
"Jun 02, 2005","1.225","1.225","1.225","1.225","-","1.24%"
"Jun 03, 2005","1.210","1.210","1.210","1.210","-","-1.22%"
"Jun 06, 2005","1.210","1.210","1.210","1.210","-","0.00%"
"Jun 07, 2005","1.230","1.230","1.230","1.230","-","1.65%"
"Jun 08, 2005","1.220","1.220","1.220","1.220","-","-0.81%"
"Jun 09, 2005","1.220","1.220","1.220","1.220","-","0.00%"
"Jun 10, 2005","1.230","1.230","1.230","1.230","-","0.82%"
"Jun 13, 2005","1.230","1.230","1.230","1.230","-","0.00%"
"Jun 14, 2005","1.230","1.230","1.230","1.230","-","0.00%"
"Jun 15, 2005","1.240","1.240","1.240","1.240","-","0.81%"
"Jun 16, 2005","1.290","1.290","1.290","1.290","-","4.03%"
"Jun 17, 2005","1.300","1.300","1.300","1.300","-","0.78%"
"Jun 20, 2005","1.360","1.360","1.360","1.360","-","4.62%"
"Jun 21, 2005","1.380","1.380","1.380","1.380","-","1.47%"
"Jun 22, 2005","1.380","1.380","1.380","1.380","-","0.00%"
"Jun 23, 2005","1.410","1.410","1.410","1.410","-","2.17%"
"Jun 24, 2005","1.410","1.410","1.410","1.410","-","0.00%"
"Jun 27, 2005","1.410","1.410","1.410","1.410","-","0.00%"
"Jun 28, 2005","1.440","1.440","1.440","1.440","-","2.13%"
"Jun 29, 2005","1.490","1.490","1.490","1.490","-","3.47%"
"Jun 30, 2005","1.470","1.470","1.470","1.470","-","-1.34%"
"Jul 01, 2005","1.490","1.490","1.490","1.490","-","1.36%"
"Jul 05, 2005","1.490","1.490","1.490","1.490","-","0.00%"
"Jul 06, 2005","1.490","1.490","1.490","1.490","-","0.00%"
"Jul 07, 2005","1.530","1.530","1.530","1.530","-","2.68%"
"Jul 08, 2005","1.590","1.590","1.590","1.590","-","3.92%"
"Jul 11, 2005","1.620","1.620","1.620","1.620","-","1.89%"
"Jul 12, 2005","1.650","1.650","1.650","1.650","-","1.85%"
"Jul 13, 2005","1.620","1.620","1.620","1.620","-","-1.82%"
"Jul 14, 2005","1.630","1.630","1.630","1.630","-","0.62%"
"Jul 15, 2005","1.620","1.620","1.620","1.620","-","-0.61%"
"Jul 18, 2005","1.700","1.700","1.700","1.700","-","4.94%"
"Jul 19, 2005","1.780","1.780","1.780","1.780","-","4.71%"
"Jul 20, 2005","1.740","1.740","1.740","1.740","-","-2.25%"
"Jul 21, 2005","1.750","1.750","1.750","1.750","-","0.57%"
"Jul 22, 2005","1.740","1.740","1.740","1.740","-","-0.57%"
"Jul 25, 2005","1.760","1.760","1.760","1.760","-","1.15%"
"Jul 26, 2005","1.740","1.740","1.740","1.740","-","-1.14%"
"Jul 27, 2005","1.750","1.750","1.750","1.750","-","0.57%"
"Jul 28, 2005","1.750","1.750","1.750","1.750","-","0.00%"
"Jul 29, 2005","1.770","1.770","1.770","1.770","-","1.14%"
"Aug 01, 2005","1.780","1.780","1.780","1.780","-","0.56%"
"Aug 02, 2005","1.750","1.750","1.750","1.750","-","-1.69%"
"Aug 03, 2005","1.830","1.830","1.830","1.830","-","4.57%"
"Aug 04, 2005","1.840","1.840","1.840","1.840","-","0.55%"
"Aug 05, 2005","1.820","1.820","1.820","1.820","-","-1.09%"
"Aug 08, 2005","1.830","1.830","1.830","1.830","-","0.55%"
"Aug 09, 2005","1.865","1.865","1.865","1.865","-","1.91%"
"Aug 10, 2005","1.850","1.850","1.850","1.850","-","-0.80%"
"Aug 11, 2005","1.895","1.895","1.895","1.895","-","2.43%"
"Aug 12, 2005","1.865","1.865","1.865","1.865","-","-1.58%"
"Aug 15, 2005","1.885","1.885","1.885","1.885","-","1.07%"
"Aug 16, 2005","1.915","1.915","1.915","1.915","-","1.59%"
"Aug 17, 2005","1.915","1.915","1.915","1.915","-","0.00%"
"Aug 18, 2005","1.950","1.950","1.950","1.950","-","1.83%"
"Aug 19, 2005","1.965","1.965","1.965","1.965","-","0.77%"
"Aug 22, 2005","1.985","1.985","1.985","1.985","-","1.02%"
"Aug 23, 2005","1.975","1.975","1.975","1.975","-","-0.50%"
"Aug 24, 2005","1.975","1.975","1.975","1.975","-","0.00%"
"Aug 25, 2005","1.974","1.974","1.974","1.974","-","-0.05%"
"Aug 26, 2005","1.980","1.980","1.980","1.980","-","0.30%"
"Aug 29, 2005","2.030","2.030","2.030","2.030","-","2.53%"
"Aug 30, 2005","2.150","2.150","2.150","2.150","-","5.91%"
"Aug 31, 2005","2.300","2.300","2.300","2.300","-","6.98%"
"Sep 01, 2005","2.700","2.700","2.700","2.700","-","17.39%"
"Sep 02, 2005","2.600","2.600","2.600","2.600","-","-3.70%"
"Sep 06, 2005","2.530","2.530","2.530","2.530","-","-2.69%"
"Sep 07, 2005","2.540","2.540","2.540","2.540","-","0.40%"
"Sep 08, 2005","2.515","2.515","2.515","2.515","-","-0.98%"
"Sep 09, 2005","2.580","2.580","2.580","2.580","-","2.58%"
"Sep 12, 2005","2.500","2.500","2.500","2.500","-","-3.10%"
"Sep 13, 2005","2.475","2.475","2.475","2.475","-","-1.00%"
"Sep 14, 2005","2.380","2.380","2.380","2.380","-","-3.84%"
"Sep 15, 2005","2.290","2.290","2.290","2.290","-","-3.78%"
"Sep 16, 2005","2.305","2.305","2.305","2.305","-","0.66%"
"Sep 19, 2005","2.310","2.310","2.310","2.310","-","0.22%"
"Sep 20, 2005","2.325","2.325","2.325","2.325","-","0.65%"
"Sep 21, 2005","2.355","2.355","2.355","2.355","-","1.29%"
"Sep 22, 2005","2.440","2.440","2.440","2.440","-","3.61%"
"Sep 23, 2005","2.450","2.450","2.450","2.450","-","0.41%"
"Sep 26, 2005","2.420","2.420","2.420","2.420","-","-1.22%"
"Sep 27, 2005","2.400","2.400","2.400","2.400","-","-0.83%"
"Sep 28, 2005","2.415","2.415","2.415","2.415","-","0.62%"
"Sep 29, 2005","2.415","2.415","2.415","2.415","-","0.00%"
"Sep 30, 2005","2.430","2.430","2.430","2.430","-","0.62%"
"Oct 03, 2005","2.420","2.420","2.420","2.420","-","-0.41%"
"Oct 04, 2005","2.500","2.500","2.500","2.500","-","3.31%"
"Oct 05, 2005","2.470","2.470","2.470","2.470","-","-1.20%"
"Oct 06, 2005","2.300","2.300","2.300","2.300","-","-6.88%"
"Oct 07, 2005","2.350","2.350","2.350","2.350","-","2.17%"
"Oct 10, 2005","2.240","2.240","2.240","2.240","-","-4.68%"
"Oct 11, 2005","2.245","2.245","2.245","2.245","-","0.22%"
"Oct 12, 2005","2.195","2.195","2.195","2.195","-","-2.23%"
"Oct 13, 2005","2.100","2.100","2.100","2.100","-","-4.33%"
"Oct 14, 2005","1.975","1.975","1.975","1.975","-","-5.95%"
"Oct 17, 2005","2.027","2.027","2.027","2.027","-","2.63%"
"Oct 18, 2005","2.030","2.030","2.030","2.030","-","0.15%"
"Oct 19, 2005","2.030","2.030","2.030","2.030","-","0.00%"
"Oct 20, 2005","2.040","2.040","2.040","2.040","-","0.49%"
"Oct 21, 2005","2.050","2.050","2.050","2.050","-","0.49%"
"Oct 24, 2005","2.030","2.030","2.030","2.030","-","-0.98%"
"Oct 25, 2005","2.100","2.100","2.100","2.100","-","3.45%"
"Oct 26, 2005","2.140","2.140","2.140","2.140","-","1.90%"
"Oct 27, 2005","2.160","2.160","2.160","2.160","-","0.93%"
"Oct 28, 2005","2.200","2.200","2.200","2.200","-","1.85%"
"Oct 31, 2005","2.220","2.220","2.220","2.220","-","0.91%"
"Nov 01, 2005","2.230","2.230","2.230","2.230","-","0.45%"
"Nov 02, 2005","2.190","2.190","2.190","2.190","-","-1.79%"
"Nov 03, 2005","2.130","2.130","2.130","2.130","-","-2.74%"
"Nov 04, 2005","2.175","2.175","2.175","2.175","-","2.11%"
"Nov 07, 2005","2.260","2.260","2.260","2.260","-","3.91%"
"Nov 08, 2005","2.160","2.160","2.160","2.160","-","-4.42%"
"Nov 09, 2005","2.205","2.205","2.205","2.205","-","2.08%"
"Nov 10, 2005","2.155","2.155","2.155","2.155","-","-2.27%"
"Nov 11, 2005","2.120","2.120","2.120","2.120","-","-1.62%"
"Nov 14, 2005","2.120","2.120","2.120","2.120","-","0.00%"
"Nov 15, 2005","2.020","2.020","2.020","2.020","-","-4.72%"
"Nov 16, 2005","2.015","2.015","2.015","2.015","-","-0.25%"
"Nov 17, 2005","2.010","2.010","2.010","2.010","-","-0.25%"
"Nov 18, 2005","1.970","1.970","1.970","1.970","-","-1.99%"
"Nov 21, 2005","1.995","1.995","1.995","1.995","-","1.27%"
"Nov 22, 2005","1.990","1.990","1.990","1.990","-","-0.25%"
"Nov 23, 2005","1.930","1.930","1.930","1.930","-","-3.02%"
"Nov 25, 2005","1.900","1.900","1.900","1.900","-","-1.55%"
"Nov 28, 2005","1.910","1.910","1.910","1.910","-","0.53%"
"Nov 29, 2005","1.915","1.915","1.915","1.915","-","0.26%"
"Nov 30, 2005","1.910","1.910","1.910","1.910","-","-0.26%"
"Dec 01, 2005","1.900","1.900","1.900","1.900","-","-0.52%"
"Dec 02, 2005","1.920","1.920","1.920","1.920","-","1.05%"
"Dec 05, 2005","1.915","1.915","1.915","1.915","-","-0.26%"
"Dec 06, 2005","1.965","1.965","1.965","1.965","-","2.61%"
"Dec 07, 2005","1.980","1.980","1.980","1.980","-","0.76%"
"Dec 08, 2005","1.975","1.975","1.975","1.975","-","-0.25%"
"Dec 09, 2005","2.060","2.060","2.060","2.060","-","4.30%"
"Dec 12, 2005","2.060","2.060","2.060","2.060","-","0.00%"
"Dec 13, 2005","2.000","2.000","2.000","2.000","-","-2.91%"
"Dec 14, 2005","2.090","2.090","2.090","2.090","-","4.50%"
"Dec 15, 2005","1.980","1.980","1.980","1.980","-","-5.26%"
"Dec 16, 2005","1.980","1.980","1.980","1.980","-","0.00%"
"Dec 19, 2005","2.000","2.000","2.000","2.000","-","1.01%"
"Dec 20, 2005","2.030","2.030","2.030","2.030","-","1.50%"
"Dec 21, 2005","2.010","2.010","2.010","2.010","-","-0.99%"
"Dec 22, 2005","2.000","2.000","2.000","2.000","-","-0.50%"
"Dec 23, 2005","2.015","2.015","2.015","2.015","-","0.75%"
"Dec 27, 2005","2.030","2.030","2.030","2.030","-","0.74%"
"Dec 28, 2005","2.040","2.040","2.040","2.040","-","0.49%"
"Dec 29, 2005","2.080","2.080","2.080","2.080","-","1.96%"
"Dec 30, 2005","2.090","2.090","2.090","2.090","-","0.48%"
"Jan 03, 2006","2.120","2.120","2.120","2.120","-","1.44%"
"Jan 05, 2006","2.100","2.100","2.100","2.100","-","-0.94%"
"Jan 06, 2006","2.170","2.170","2.170","2.170","-","3.33%"
"Jan 09, 2006","2.250","2.250","2.250","2.250","-","3.69%"
"Jan 10, 2006","2.300","2.300","2.300","2.300","-","2.22%"
"Jan 11, 2006","2.350","2.350","2.350","2.350","-","2.17%"
"Jan 12, 2006","2.270","2.270","2.270","2.270","-","-3.40%"
"Jan 13, 2006","2.330","2.330","2.330","2.330","-","2.64%"
"Jan 17, 2006","2.480","2.480","2.480","2.480","-","6.44%"
"Jan 18, 2006","2.580","2.580","2.580","2.580","-","4.03%"
"Jan 19, 2006","2.480","2.480","2.480","2.480","-","-3.88%"
"Jan 20, 2006","2.490","2.490","2.490","2.490","-","0.40%"
"Jan 23, 2006","2.490","2.490","2.490","2.490","-","0.00%"
"Jan 24, 2006","2.460","2.460","2.460","2.460","-","-1.20%"
"Jan 25, 2006","2.460","2.460","2.460","2.460","-","0.00%"
"Jan 26, 2006","2.445","2.445","2.445","2.445","-","-0.61%"
"Jan 27, 2006","2.470","2.470","2.470","2.470","-","1.02%"
"Jan 30, 2006","2.495","2.495","2.495","2.495","-","1.01%"
"Jan 31, 2006","2.490","2.490","2.490","2.490","-","-0.20%"
"Feb 01, 2006","2.500","2.500","2.500","2.500","-","0.40%"
"Feb 02, 2006","2.500","2.500","2.500","2.500","-","0.00%"
"Feb 03, 2006","2.550","2.550","2.550","2.550","-","2.00%"
"Feb 06, 2006","2.600","2.600","2.600","2.600","-","1.96%"
"Feb 07, 2006","2.575","2.575","2.575","2.575","-","-0.96%"
"Feb 08, 2006","2.590","2.590","2.590","2.590","-","0.58%"
"Feb 09, 2006","2.600","2.600","2.600","2.600","-","0.39%"
"Feb 10, 2006","2.700","2.700","2.700","2.700","-","3.85%"
"Feb 13, 2006","2.730","2.730","2.730","2.730","-","1.11%"
"Feb 14, 2006","2.700","2.700","2.700","2.700","-","-1.10%"
"Feb 15, 2006","2.580","2.580","2.580","2.580","-","-4.44%"
"Feb 16, 2006","2.500","2.500","2.500","2.500","-","-3.10%"
"Feb 17, 2006","2.470","2.470","2.470","2.470","-","-1.20%"
"Feb 21, 2006","2.490","2.490","2.490","2.490","-","0.81%"
"Feb 22, 2006","2.470","2.470","2.470","2.470","-","-0.80%"
"Feb 23, 2006","2.460","2.460","2.460","2.460","-","-0.40%"
"Feb 24, 2006","2.480","2.480","2.480","2.480","-","0.81%"
"Feb 27, 2006","2.505","2.505","2.505","2.505","-","1.01%"
"Feb 28, 2006","2.420","2.420","2.420","2.420","-","-3.39%"
"Mar 01, 2006","2.430","2.430","2.430","2.430","-","0.41%"
"Mar 02, 2006","2.420","2.420","2.420","2.420","-","-0.41%"
"Mar 03, 2006","2.445","2.445","2.445","2.445","-","1.03%"
"Mar 06, 2006","2.470","2.470","2.470","2.470","-","1.02%"
"Mar 07, 2006","2.420","2.420","2.420","2.420","-","-2.02%"
