"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2000","200.75","204.50","205.75","200.50","45.26K","-1.83%"
"Jan 04, 2000","203.00","200.75","203.50","200.75","35.13K","1.12%"
"Jan 05, 2000","203.00","202.50","203.25","201.00","29.93K","0.00%"
"Jan 06, 2000","203.75","203.00","205.75","203.00","37.21K","0.37%"
"Jan 07, 2000","207.00","203.25","207.75","202.50","46.37K","1.60%"
"Jan 10, 2000","208.50","206.25","209.25","204.75","47.24K","0.72%"
"Jan 11, 2000","207.25","208.00","209.25","206.25","41.00K","-0.60%"
"Jan 12, 2000","215.50","207.00","216.75","206.75","121.91K","3.98%"
"Jan 13, 2000","220.75","214.50","221.50","214.50","90.88K","2.44%"
"Jan 14, 2000","219.00","220.00","221.75","218.25","60.02K","-0.79%"
"Jan 18, 2000","220.00","217.00","220.50","215.50","47.19K","0.46%"
"Jan 19, 2000","220.75","220.00","221.00","218.75","33.84K","0.34%"
"Jan 20, 2000","220.75","220.25","221.50","218.75","31.39K","0.00%"
"Jan 21, 2000","222.75","220.75","223.00","219.75","40.15K","0.91%"
"Jan 24, 2000","227.25","223.00","227.50","223.00","57.42K","2.02%"
"Jan 25, 2000","227.50","226.75","228.25","226.00","49.17K","0.11%"
"Jan 26, 2000","223.00","227.00","227.00","222.75","41.50K","-1.98%"
"Jan 27, 2000","225.75","223.00","226.50","221.25","47.28K","1.23%"
"Jan 28, 2000","223.50","226.00","226.75","222.75","30.22K","-1.00%"
"Jan 31, 2000","220.00","221.75","221.75","218.50","47.70K","-1.57%"
"Feb 01, 2000","222.00","219.75","222.25","219.50","30.21K","0.91%"
"Feb 02, 2000","220.75","222.00","223.00","220.50","25.09K","-0.56%"
"Feb 03, 2000","218.00","220.50","220.50","217.25","38.18K","-1.25%"
"Feb 04, 2000","219.75","217.50","220.25","214.50","52.41K","0.80%"
"Feb 07, 2000","221.50","220.00","222.00","220.00","31.18K","0.80%"
"Feb 08, 2000","221.25","221.00","222.50","219.25","30.87K","-0.11%"
"Feb 09, 2000","222.50","220.75","222.75","219.50","33.03K","0.56%"
"Feb 10, 2000","225.50","222.00","226.00","222.00","40.89K","1.35%"
"Feb 11, 2000","221.75","225.50","226.50","221.25","40.62K","-1.66%"
"Feb 14, 2000","222.25","221.25","225.00","221.25","27.85K","0.23%"
"Feb 15, 2000","222.25","221.75","223.75","219.75","31.01K","0.00%"
"Feb 16, 2000","223.00","221.75","223.75","221.25","42.75K","0.34%"
"Feb 17, 2000","221.25","223.00","223.75","221.00","38.03K","-0.78%"
"Feb 18, 2000","220.50","221.25","221.25","220.00","29.26K","-0.34%"
"Feb 22, 2000","219.25","220.00","222.00","219.00","36.06K","-0.57%"
"Feb 23, 2000","215.25","219.00","219.50","215.00","45.06K","-1.82%"
"Feb 24, 2000","216.25","215.00","216.75","214.00","39.80K","0.46%"
"Feb 25, 2000","213.25","216.25","216.50","212.75","41.38K","-1.39%"
"Feb 28, 2000","212.00","213.00","214.00","211.75","63.84K","-0.59%"
"Feb 29, 2000","215.00","212.25","215.25","211.50","37.53K","1.42%"
"Mar 01, 2000","214.75","215.00","216.25","214.25","24.11K","-0.12%"
"Mar 02, 2000","216.25","214.75","216.75","214.25","16.64K","0.70%"
"Mar 03, 2000","218.50","216.25","219.00","216.25","15.08K","1.04%"
"Mar 06, 2000","221.75","219.00","221.75","217.50","12.46K","1.49%"
"Mar 07, 2000","218.00","221.75","222.00","217.50","9.54K","-1.69%"
"Mar 08, 2000","219.25","218.00","221.00","217.00","10.56K","0.57%"
"Mar 09, 2000","220.50","219.50","222.25","219.25","7.33K","0.57%"
"Mar 10, 2000","219.75","220.50","221.00","218.50","5.10K","-0.34%"
"Mar 13, 2000","223.50","220.00","224.50","220.00","3.84K","1.71%"
"Mar 14, 2000","228.75","224.75","229.00","224.75","1.72K","2.35%"
"Mar 15, 2000","236.00","237.75","238.75","235.75","45.45K","3.17%"
"Mar 16, 2000","235.25","235.50","239.75","234.25","44.72K","-0.32%"
"Mar 17, 2000","240.75","238.00","241.75","237.50","47.34K","2.34%"
"Mar 20, 2000","235.75","237.00","237.25","233.50","36.71K","-2.08%"
"Mar 21, 2000","232.00","235.00","236.50","231.25","37.39K","-1.59%"
"Mar 22, 2000","234.50","232.75","234.75","231.75","27.38K","1.08%"
"Mar 23, 2000","230.25","234.25","234.50","229.50","43.60K","-1.81%"
"Mar 24, 2000","232.00","229.75","233.75","229.25","29.76K","0.76%"
"Mar 27, 2000","232.50","232.50","234.75","229.75","29.68K","0.22%"
"Mar 28, 2000","225.00","231.50","232.25","224.75","55.74K","-3.23%"
"Mar 29, 2000","227.00","226.00","227.50","224.00","36.71K","0.89%"
"Mar 30, 2000","233.25","227.00","233.50","226.00","33.38K","2.75%"
"Mar 31, 2000","236.00","232.50","238.50","232.00","39.26K","1.18%"
"Apr 03, 2000","234.25","236.00","239.50","233.75","34.15K","-0.74%"
"Apr 04, 2000","232.00","234.00","235.25","230.00","33.99K","-0.96%"
"Apr 05, 2000","232.00","232.75","234.00","229.75","28.62K","0.00%"
"Apr 06, 2000","227.00","232.25","232.50","226.75","38.00K","-2.16%"
"Apr 07, 2000","229.25","227.50","229.50","225.25","33.48K","0.99%"
"Apr 10, 2000","227.00","227.00","227.50","225.50","31.95K","-0.98%"
"Apr 11, 2000","223.25","226.75","227.00","223.00","43.38K","-1.65%"
"Apr 12, 2000","225.50","223.25","226.25","222.50","34.90K","1.01%"
"Apr 13, 2000","227.50","225.50","228.50","225.00","37.59K","0.89%"
"Apr 14, 2000","226.25","229.75","232.25","225.75","44.17K","-0.55%"
"Apr 17, 2000","224.00","225.75","226.75","223.25","23.98K","-0.99%"
"Apr 18, 2000","224.50","224.25","225.75","223.50","26.83K","0.22%"
"Apr 19, 2000","227.75","224.50","228.00","224.50","26.52K","1.45%"
"Apr 20, 2000","226.75","228.00","228.75","224.75","23.78K","-0.44%"
"Apr 24, 2000","228.00","226.50","228.50","225.00","30.31K","0.55%"
"Apr 25, 2000","230.50","228.00","230.75","228.00","47.01K","1.10%"
"Apr 26, 2000","227.50","230.50","231.75","227.25","38.73K","-1.30%"
"Apr 27, 2000","225.25","227.50","227.75","225.00","53.34K","-0.99%"
"Apr 28, 2000","223.75","225.50","226.00","223.50","21.02K","-0.67%"
"May 01, 2000","235.50","227.75","236.50","227.25","17.41K","5.25%"
"May 02, 2000","237.50","235.75","240.00","234.00","16.46K","0.85%"
"May 03, 2000","241.75","238.00","249.50","237.25","11.48K","1.79%"
"May 04, 2000","242.25","241.25","245.50","239.00","7.77K","0.21%"
"May 05, 2000","240.25","242.00","242.00","238.25","6.76K","-0.83%"
"May 08, 2000","233.25","240.25","240.25","232.75","4.59K","-2.91%"
"May 09, 2000","231.00","232.75","232.75","230.00","3.34K","-0.96%"
"May 10, 2000","236.75","233.25","237.75","233.00","3.96K","2.49%"
"May 11, 2000","237.75","238.00","238.50","234.75","3.16K","0.42%"
"May 12, 2000","236.00","234.50","236.50","234.00","1.14K","-0.74%"
"May 15, 2000","238.75","242.50","242.75","234.00","80.31K","1.17%"
"May 16, 2000","235.50","239.50","240.25","235.25","40.67K","-1.36%"
"May 17, 2000","235.50","235.00","237.25","232.00","53.30K","0.00%"
"May 18, 2000","238.00","236.25","242.00","236.25","45.11K","1.06%"
"May 19, 2000","240.00","238.00","241.00","237.50","25.47K","0.84%"
"May 22, 2000","241.00","238.25","243.50","236.50","31.15K","0.42%"
"May 23, 2000","238.25","240.50","241.25","238.00","31.02K","-1.14%"
"May 24, 2000","235.00","238.00","238.50","234.00","42.87K","-1.36%"
"May 25, 2000","230.50","234.50","236.00","229.00","78.43K","-1.91%"
"May 26, 2000","233.50","230.75","234.00","230.25","33.26K","1.30%"
"May 30, 2000","224.25","228.00","228.00","222.50","65.85K","-3.96%"
"May 31, 2000","225.00","224.50","226.00","223.25","35.14K","0.33%"
"Jun 01, 2000","225.50","229.00","229.50","224.75","38.24K","0.22%"
"Jun 02, 2000","229.00","225.50","229.50","224.00","34.13K","1.55%"
"Jun 05, 2000","224.25","231.00","232.75","223.25","38.58K","-2.07%"
"Jun 06, 2000","225.75","224.75","226.00","222.75","27.04K","0.67%"
"Jun 07, 2000","219.75","228.00","228.00","219.00","56.37K","-2.66%"
"Jun 08, 2000","219.00","220.00","220.75","217.25","44.49K","-0.34%"
"Jun 09, 2000","219.25","219.00","221.00","218.00","32.28K","0.11%"
