"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, FORAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, FORAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>VALUE</b>","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","340,000","","","","325,000","","","","","","53,950,000","","166","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","70,000","","","","26,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","620,000","","","","605,000","","","","","","109,505,000","","181","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","400,000","","","","50,000","","","","","","7,750,000","","155","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,430,000","","","","1,160,000","","","","","","141,520,000","","122","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","175,000","","","","170,000","","","","","","30,770,000","","181","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","100,000","","","","56,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","430,000","","","","380,000","","","","","","69,160,000","","182","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","380,000","","","","140,000","","","","","","28,700,000","","205","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,400,000","","","","11,200,000","","","","","","2,184,000,000","","195","","","","","","","","",""
