date,PRCP_Illinois,TMAX_Illinois,TMIN_Illinois,PRCP_Indiana,TMAX_Indiana,TMIN_Indiana,PRCP_Nebraska,TMAX_Nebraska,TMIN_Nebraska,PRCP_Ohio,TMAX_Ohio,TMIN_Ohio,PRCP_Iowa,TMAX_Iowa,TMIN_Iowa,extreme_heat_Illinois,extreme_cold_Illinois,extreme_heat_Indiana,extreme_cold_Indiana,extreme_heat_Nebraska,extreme_cold_Nebraska,extreme_heat_Ohio,extreme_cold_Ohio,extreme_heat_Iowa,extreme_cold_Iowa
2000-01-01,0.0,7.7799999999999985,-2.34,0.0,10.6375,-3.4125,0.0,9.757142857142854,-5.785714285714287,0.0,9.1,-5.6999999999999975,0.0,6.099999999999999,-2.95,0,1,0,1,0,1,0,1,0,1
2000-01-02,0.16666666666666666,12.44,0.8800000000000001,0.31,15.2125,1.325,0.0375,6.3125,-7.4250000000000025,0.0,13.612500000000002,-0.2875,0.4,6.383333333333333,0.18333333333333326,0,0,0,0,0,1,0,1,0,0
2000-01-03,0.0,13.439999999999998,8.881784197001253e-17,23.47,15.8375,5.7624999999999975,0.2875,0.975,-10.0625,6.3874999999999975,17.0875,6.8125,0.21428571428571427,6.4499999999999975,-1.5666666666666669,0,0,0,0,0,1,0,0,0,1
2000-01-04,5.533333333333332,3.0000000000000004,-5.0,19.610000000000007,13.0,-0.5624999999999998,0.125,-2.0,-19.1,33.1625,14.2875,4.6625000000000005,4.2285714285714295,-1.2,-10.35,0,1,0,1,0,1,0,0,0,1
2000-01-05,0.0,-1.1,-12.56,0.34,0.2875000000000001,-5.5,0.075,3.8375,-11.1875,1.1571428571428568,6.125000000000003,-3.571428571428572,0.0,-4.066666666666666,-15.1,0,1,0,1,0,1,0,1,0,1
2000-01-06,0.0,0.3200000000000001,-9.66,0.0,1.3125000000000002,-5.700000000000001,0.0375,5.275,-8.825,0.1,0.7625000000000002,-5.425,0.6833333333333332,0.3666666666666667,-8.049999999999999,0,1,0,1,0,1,0,1,0,1
2000-01-07,0.0,3.3400000000000007,-5.76,0.0,5.2125,-4.1625,0.0,9.3125,-9.537499999999998,0.0,4.85,-3.6571428571428575,0.15714285714285714,1.5666666666666669,-12.033333333333333,0,1,0,1,0,1,0,1,0,1
2000-01-08,0.0,3.34,-5.44,0.06,3.625,-5.625,0.0,10.2125,-8.35,0.0,3.5,-6.8428571428571425,0.0,5.833333333333332,-5.166666666666667,0,1,0,1,0,1,0,1,0,1
2000-01-09,3.016666666666666,6.34,-0.22000000000000008,0.0,7.3125,-1.7375000000000005,0.0,8.612499999999999,-5.6000000000000005,0.0,6.1125000000000025,-3.6625,1.4857142857142858,5.833333333333332,-0.5499999999999999,0,1,0,1,0,1,0,1,0,1
2000-01-10,3.5500000000000003,7.32,2.22,0.59,9.175,2.6875,0.0,6.0625,-6.375,0.325,8.875,2.0125,1.9428571428571428,6.583333333333332,-0.5500000000000002,0,0,0,0,0,1,0,0,0,1
