index,China Import,China Inflation Rate,USA Inflation Rate
2000-JAN,7416.67,-0.2,2.7
2000-FEB,7416.67,0.7,3.2
2000-MAR,7416.67,-0.2,3.8
2000-APR,7416.67,-0.3,3.1
2000-MAY,7416.67,0.1,3.2
2000-JUN,7416.67,0.5,3.7
2000-JUL,7416.67,0.5,3.7
2000-AUG,7416.67,0.3,3.4
2000-SEP,7416.67,0,3.5
2000-OCT,7416.67,0,3.4
2000-NOV,7416.67,1.3,3.4
2000-DEC,7416.67,1.5,3.4
2001-JAN,3250,1.2,3.7
2001-FEB,3250,0,3.5
2001-MAR,3250,0.8,2.9
2001-APR,3250,1.6,3.3
2001-MAY,3250,1.7,3.6
2001-JUN,3250,1.4,3.2
2001-JUL,3250,1.5,2.7
2001-AUG,3250,1,2.7
2001-SEP,3250,-0.1,2.6
2001-OCT,3250,0.2,2.1
2001-NOV,3250,-0.3,1.9
2001-DEC,3250,-0.3,1.6
2002-JAN,2416.67,-1.01,1.1
2002-FEB,2416.67,-0.02,1.1
2002-MAR,2416.67,-0.73,1.5
2002-APR,2416.67,-1.22,1.6
2002-MAY,2416.67,-1.02,1.2
2002-JUN,2416.67,-0.72,1.1
2002-JUL,2416.67,-0.92,1.5
2002-AUG,2416.67,-0.72,1.8
2002-SEP,2416.67,-0.63,1.5
2002-OCT,2416.67,-0.73,2
2002-NOV,2416.67,-0.63,2.2
2002-DEC,2416.67,-0.43,2.4
2003-JAN,166.67,0.37,2.6
2003-FEB,166.67,0.17,3
2003-MAR,166.67,0.88,3
2003-APR,166.67,0.98,2.2
2003-MAY,166.67,0.57,2.1
2003-JUN,166.67,0.27,2.1
2003-JUL,166.67,0.47,2.1
2003-AUG,166.67,0.87,2.2
2003-SEP,166.67,1.07,2.3
2003-OCT,166.67,1.78,2
2003-NOV,166.67,2.9,1.8
2003-DEC,166.67,3.21,1.9
2004-JAN,166.67,3.2,1.9
2004-FEB,166.67,2.08,1.7
2004-MAR,166.67,3.01,1.7
2004-APR,166.67,3.73,2.3
2004-MAY,166.67,4.36,3.1
2004-JUN,166.67,4.88,3.3
2004-JUL,166.67,5.2,3
2004-AUG,166.67,5.2,2.7
2004-SEP,166.67,5.1,2.5
2004-OCT,166.67,4.16,3.2
2004-NOV,166.67,2.82,3.5
2004-DEC,166.67,2.31,3.3
2005-JAN,5166.67,1.8,3
2005-FEB,5166.67,3.84,3
2005-MAR,5166.67,2.6,3.1
2005-APR,5166.67,1.78,3.5
2005-MAY,5166.67,1.68,2.8
2005-JUN,5166.67,1.58,2.5
2005-JUL,5166.67,1.78,3.2
2005-AUG,5166.67,1.28,3.6
2005-SEP,5166.67,0.87,4.7
2005-OCT,5166.67,1.28,4.3
2005-NOV,5166.67,1.28,3.5
2005-DEC,5166.67,1.58,3.4
2006-JAN,1333.33,2.29,4
2006-FEB,1333.33,0.98,3.6
2006-MAR,1333.33,0.98,3.4
2006-APR,1333.33,1.49,3.5
2006-MAY,1333.33,1.59,4.2
2006-JUN,1333.33,1.9,4.3
2006-JUL,1333.33,1.59,4.1
2006-AUG,1333.33,1.69,3.8
2006-SEP,1333.33,1.49,2.1
2006-OCT,1333.33,1.19,1.3
2006-NOV,1333.33,1.8,2
2006-DEC,1333.33,2.81,2.5
2007-JAN,3416.67,2.2,2.1
2007-FEB,3416.67,2.71,2.4
2007-MAR,3416.67,3.33,2.8
2007-APR,3416.67,3.02,2.6
2007-MAY,3416.67,3.44,2.7
2007-JUN,3416.67,4.37,2.7
2007-JUL,3416.67,5.63,2.4
2007-AUG,3416.67,6.58,2
2007-SEP,3416.67,6.36,2.8
2007-OCT,3416.67,6.58,3.5
2007-NOV,3416.67,7,4.3
2007-DEC,3416.67,6.58,4.1
2008-JAN,3916.67,7.11,4.3
2008-FEB,3916.67,8.8,4
2008-MAR,3916.67,8.37,4
2008-APR,3916.67,8.59,3.9
2008-MAY,3916.67,7.83,4.2
2008-JUN,3916.67,7.18,5
2008-JUL,3916.67,6.3,5.6
2008-AUG,3916.67,4.97,5.4
2008-SEP,3916.67,4.65,4.9
