Date,Price,Open,High,Low,Vol.,Change %
Jan 00,104.970,101.390,105.140,99.400,25.25K,3.39%
Feb 00,105.880,104.860,106.240,102.920,18.08K,0.87%
Mar 00,105.160,106.160,106.630,104.180,26.92K,-0.68%
Apr 00,109.990,105.310,110.150,103.850,24.46K,4.59%
May 00,108.690,109.680,112.660,108.140,27.64K,-1.18%
Jun 00,106.580,108.540,109.350,105.500,13.80K,-1.94%
Jul 00,109.370,106.630,109.700,106.440,12.94K,2.62%
Aug 00,112.570,109.280,112.880,109.100,14.61K,2.93%
Sep 00,113.000,112.300,116.450,111.200,15.70K,0.38%
Oct 00,116.620,112.870,118.900,112.720,14.53K,3.20%
Nov 00,115.100,116.520,118.450,114.050,17.96K,-1.30%
Dec 00,109.280,115.160,115.430,109.270,14.79K,-5.06%
Jan 01,110.530,109.110,112.600,108.040,20.13K,1.14%
Feb 01,112.000,110.300,113.650,109.400,14.63K,1.33%
Mar 01,117.630,112.010,117.780,110.810,20.45K,5.03%
Apr 01,115.950,117.770,117.890,114.010,21.57K,-1.43%
May 01,119.190,115.820,119.330,114.380,22.59K,2.79%
Jun 01,119.750,119.140,120.370,117.500,20.90K,0.47%
Jul 01,117.390,119.700,121.290,116.580,38.33K,-1.97%
Aug 01,113.540,117.250,117.250,112.470,21.49K,-3.28%
Sep 01,113.960,114.310,116.140,111.350,11.03K,0.37%
Oct 01,115.150,114.010,116.600,112.620,17.64K,1.04%
Nov 01,115.550,114.900,117.980,113.920,34.94K,0.35%
Dec 01,117.210,115.630,118.850,114.800,25.60K,1.44%
Jan 02,120.590,116.810,120.800,116.000,20.09K,2.88%
Feb 02,119.280,120.450,120.550,118.260,25.90K,-1.09%
Mar 02,119.060,119.350,119.700,116.800,23.90K,-0.18%
Apr 02,115.400,118.930,118.950,114.930,37.50K,-3.07%
May 02,111.910,115.340,115.470,110.950,28.94K,-3.02%
Jun 02,106.550,111.980,112.000,105.970,27.14K,-4.79%
Jul 02,107.700,106.220,108.330,104.120,20.68K,1.08%
Aug 02,106.870,107.810,109.250,106.320,14.10K,-0.77%
Sep 02,107.260,106.460,109.750,105.530,21.42K,0.36%
Oct 02,106.820,107.100,108.950,106.710,32.86K,-0.41%
