,date,PRCP,TMAX,TMIN
0,2000-01-01,0.0,9.66,-1.66
1,2000-01-02,0.0,19.12,3.22
2,2000-01-03,0.0,19.34,11.24
3,2000-01-04,12.34,20.56,9.66
4,2000-01-05,7.419999999999999,12.420000000000002,-0.2200000000000001
5,2000-01-06,0.0,7.660000000000001,-3.0
6,2000-01-07,0.0,10.88,-1.5799999999999998
7,2000-01-08,0.0,7.119999999999999,-3.0
8,2000-01-09,0.5599999999999999,10.22,1.56
9,2000-01-10,10.46,14.9,5.8
10,2000-01-11,0.0,14.24,4.76
11,2000-01-12,0.0,8.98,0.9
12,2000-01-13,0.72,12.000000000000002,-3.22
13,2000-01-14,0.0,1.12,-7.12
14,2000-01-15,0.0,0.10000000000000002,-8.2
15,2000-01-16,0.0,11.34,-3.1
16,2000-01-17,0.0,2.5800000000000005,-10.9
17,2000-01-18,0.0,-5.659999999999998,-13.12
18,2000-01-19,0.0,1.34,-10.34
19,2000-01-20,6.2,0.21999999999999992,-4.32
20,2000-01-21,0.86,-2.9,-10.34
21,2000-01-22,0.0,-5.460000000000001,-11.9
22,2000-01-23,0.46,-2.12,-7.12
23,2000-01-24,0.2,2.88,-3.46
24,2000-01-25,21.5,1.9,-3.78
25,2000-01-26,2.3,-1.2399999999999998,-6.459999999999999
26,2000-01-27,0.0,-4.1,-9.88
27,2000-01-28,0.0,-3.54,-12.56
28,2000-01-29,0.0,0.54,-11.0
29,2000-01-30,14.32,2.0,-11.44
30,2000-01-31,10.22,2.78,-2.88
31,2000-02-01,0.0,2.02,-5.42
32,2000-02-02,0.0,-0.12000000000000002,-5.799999999999999
33,2000-02-03,0.9,4.02,-9.02
34,2000-02-04,0.6,2.78,-3.44
35,2000-02-05,0.0,1.7600000000000002,-1.7799999999999998
36,2000-02-06,0.0,2.78,-3.44
37,2000-02-07,0.0,7.540000000000001,-2.54
38,2000-02-08,0.0,3.44,-5.7799999999999985
39,2000-02-09,0.0,8.9,-6.7799999999999985
40,2000-02-10,0.0,11.12,-1.6800000000000002
41,2000-02-11,0.32,11.66,1.26
42,2000-02-12,0.0,5.98,-4.0
43,2000-02-13,1.6799999999999995,3.44,-5.9
44,2000-02-14,7.38,14.0,2.44
45,2000-02-15,0.96,8.879999999999997,-0.78
46,2000-02-16,0.16,14.919999999999998,-1.6800000000000002
47,2000-02-17,0.0,8.58,-2.22
48,2000-02-18,17.259999999999998,4.6800000000000015,-1.88
49,2000-02-19,8.680000000000001,7.539999999999999,1.2399999999999998
50,2000-02-20,0.0,6.7799999999999985,0.11999999999999993
51,2000-02-21,0.0,6.24,-1.44
52,2000-02-22,0.0,9.98,-2.78
53,2000-02-23,0.0,14.44,-1.7
54,2000-02-24,0.0,19.76,5.119999999999999
55,2000-02-25,1.58,23.000000000000004,7.88
56,2000-02-26,7.12,12.46,4.6400000000000015
57,2000-02-27,1.3199999999999998,18.24,4.76
58,2000-02-28,5.7200000000000015,14.9,5.999999999999999
59,2000-02-29,0.0,13.54,1.66
60,2000-03-01,0.0,13.46,-0.11999999999999995
61,2000-03-02,0.0,11.46,4.420000000000001
62,2000-03-03,0.0,10.22,2.24
63,2000-03-04,0.0,11.26,-0.4400000000000001
64,2000-03-05,0.0,16.92,3.22
65,2000-03-06,0.0,14.339999999999998,0.4400000000000001
66,2000-03-07,0.0,18.1,0.11999999999999995
67,2000-03-08,0.0,26.12,8.22
68,2000-03-09,0.0,25.1,9.24
69,2000-03-10,0.0,21.32,9.56
70,2000-03-11,10.42,16.12,6.9
71,2000-03-12,8.62,13.66,3.66
72,2000-03-13,0.0,8.120000000000001,-0.46
73,2000-03-14,0.0,13.220000000000002,0.4400000000000001
74,2000-03-15,0.0,19.78,3.78
75,2000-03-16,15.539999999999996,20.880000000000006,8.92
76,2000-03-17,14.16,16.9,0.3400000000000001
77,2000-03-18,0.0,4.0,-3.9
78,2000-03-19,0.0,7.780000000000001,-0.98
79,2000-03-20,0.4,7.44,2.78
80,2000-03-21,68.58,5.78,4.339999999999999
81,2000-03-22,49.04,7.68,4.119999999999999
82,2000-03-23,0.0,15.22,2.34
83,2000-03-24,0.0,17.78,6.2200000000000015
84,2000-03-25,1.6,21.0,6.12
85,2000-03-26,2.08,18.44,8.760000000000002
86,2000-03-27,10.82,19.12,2.9
87,2000-03-28,13.86,15.46,7.2200000000000015
88,2000-03-29,0.76,14.44,5.48
89,2000-03-30,0.0,15.88,2.3399999999999994
90,2000-03-31,0.0,14.98,2.24
91,2000-04-01,0.0,17.32,2.32
92,2000-04-02,0.0,19.32,7.32
93,2000-04-03,0.96,21.46,14.1
94,2000-04-04,4.78,20.440000000000005,9.68
95,2000-04-05,0.16,12.239999999999998,3.3199999999999994
96,2000-04-06,0.0,22.98,3.640000000000001
97,2000-04-07,0.0,21.34,7.56
98,2000-04-08,3.4599999999999995,24.34,8.120000000000001
99,2000-04-09,12.76,15.1,-0.1
100,2000-04-10,0.0,14.9,3.78
101,2000-04-11,0.5800000000000001,15.78,6.56
102,2000-04-12,0.0,12.580000000000002,4.2200000000000015
103,2000-04-13,0.0,11.02,2.14
104,2000-04-14,0.0,13.56,1.7999999999999996
105,2000-04-15,13.720000000000002,17.660000000000004,8.66
106,2000-04-16,10.28,24.32,13.64
107,2000-04-17,9.76,19.12,7.44
108,2000-04-18,8.66,8.879999999999997,6.44
109,2000-04-19,1.22,13.48,6.780000000000001
110,2000-04-20,0.0,16.78,6.56
111,2000-04-21,9.2,17.240000000000002,8.76
112,2000-04-22,3.4200000000000004,14.0,8.219999999999999
113,2000-04-23,0.0,12.9,6.3599999999999985
114,2000-04-24,0.0,18.98,6.0
115,2000-04-25,8.2,15.2,6.5600000000000005
116,2000-04-26,1.84,11.760000000000002,4.22
117,2000-04-27,1.56,9.220000000000002,5.24
118,2000-04-28,0.4,15.34,6.14
119,2000-04-29,0.0,20.020000000000003,7.460000000000001
120,2000-04-30,0.0,19.1,8.219999999999999
121,2000-05-01,0.0,20.8,3.98
122,2000-05-02,1.2799999999999998,20.78,11.44
123,2000-05-03,0.0,21.46,6.9
124,2000-05-04,0.0,21.9,9.56
125,2000-05-05,0.06,29.660000000000004,14.46
126,2000-05-06,0.0,30.46,19.0
127,2000-05-07,0.0,32.34,19.34
128,2000-05-08,0.0,32.660000000000004,20.22
129,2000-05-09,0.0,31.68,21.04
130,2000-05-10,4.2799999999999985,29.14,16.78
131,2000-05-11,2.7,26.22,12.66
132,2000-05-12,0.0,29.340000000000003,16.240000000000002
133,2000-05-13,7.26,30.0,15.68
134,2000-05-14,3.4599999999999995,24.22,14.34
135,2000-05-15,0.0,20.78,10.1
136,2000-05-16,0.0,21.24,7.0
137,2000-05-17,3.06,21.78,12.220000000000002
138,2000-05-18,0.0,28.22,15.9
139,2000-05-19,8.9,26.1,12.68
140,2000-05-20,3.8,14.679999999999998,10.459999999999997
141,2000-05-21,7.9,15.22,11.34
142,2000-05-22,23.24,14.2,11.919999999999998
143,2000-05-23,0.6599999999999999,18.860000000000007,12.66
144,2000-05-24,5.32,27.779999999999994,14.320000000000002
145,2000-05-25,2.64,25.22,15.46
146,2000-05-26,0.0,24.78,12.919999999999998
147,2000-05-27,3.62,21.34,12.22
148,2000-05-28,4.2799999999999985,18.02,11.8
149,2000-05-29,3.98,16.78,12.02
150,2000-05-30,0.0,16.22,10.46
151,2000-05-31,0.0,19.44,10.68
152,2000-06-01,0.0,29.92,12.54
153,2000-06-02,0.6599999999999999,33.11999999999999,19.880000000000006
154,2000-06-03,2.08,27.660000000000004,16.860000000000007
155,2000-06-04,0.0,23.42,11.9
156,2000-06-05,0.2,19.660000000000004,14.22
157,2000-06-06,17.520000000000003,16.36,13.66
158,2000-06-07,0.06,23.56,11.78
159,2000-06-08,0.0,27.0,13.56
160,2000-06-09,0.0,31.0,17.44
161,2000-06-10,0.0,33.0,19.880000000000006
162,2000-06-11,0.0,34.0,21.800000000000004
163,2000-06-12,12.860000000000005,32.76,18.46
164,2000-06-13,2.5,22.88,14.68
165,2000-06-14,2.4,18.1,15.12
166,2000-06-15,2.84,29.34,16.560000000000002
167,2000-06-16,4.74,30.44,20.12
168,2000-06-17,2.74,32.02,24.12
169,2000-06-18,16.32,31.1,21.880000000000006
170,2000-06-19,2.66,26.12,17.880000000000006
171,2000-06-20,0.0,28.54,14.76
172,2000-06-21,11.32,27.78,16.46
173,2000-06-22,5.3,29.1,20.34
174,2000-06-23,0.0,29.22,19.42
175,2000-06-24,0.0,30.0,17.8
176,2000-06-25,0.26,31.68,22.34
177,2000-06-26,4.42,32.239999999999995,22.34
178,2000-06-27,2.84,31.46,23.0
179,2000-06-28,23.28,27.44,20.14
180,2000-06-29,16.139999999999993,23.880000000000006,18.02
181,2000-06-30,2.08,26.020000000000003,16.0
182,2000-07-01,0.0,28.1,16.8
183,2000-07-02,0.0,29.540000000000006,16.78
