,date,PRCP,TMAX,TMIN
0,2000-01-01,0.0,13.6,1.15
1,2000-01-02,0.0,17.200000000000006,2.25
2,2000-01-03,0.0,19.75,10.6
3,2000-01-04,0.0,21.950000000000006,12.5
4,2000-01-05,16.0,17.25,1.65
5,2000-01-06,0.0,8.05,-4.7
6,2000-01-07,0.0,11.4,-4.45
7,2000-01-08,0.0,10.8,-1.65
8,2000-01-09,0.15,8.05,0.0
9,2000-01-10,7.9,9.75,3.85
10,2000-01-11,8.0,12.5,3.35
11,2000-01-12,0.15,12.5,1.4
12,2000-01-13,0.0,13.65,-2.8
13,2000-01-14,0.0,10.85,-7.2
14,2000-01-15,0.0,2.2,-8.05
15,2000-01-16,0.0,10.55,-3.9
16,2000-01-17,0.0,13.35,-6.95
17,2000-01-18,0.0,-0.55,-10.0
18,2000-01-19,0.25,-1.15,-8.9
19,2000-01-20,4.7,2.8,-6.95
20,2000-01-21,1.4,1.4,-6.65
21,2000-01-22,0.0,-1.95,-10.55
22,2000-01-23,0.0,-1.95,-8.35
23,2000-01-24,0.0,2.2,-3.6
24,2000-01-25,14.5,4.15,-3.85
25,2000-01-26,5.45,-0.2500000000000001,-6.7
26,2000-01-27,0.0,-2.5,-10.55
27,2000-01-28,0.0,-0.8499999999999999,-10.55
28,2000-01-29,0.0,2.5,-8.35
29,2000-01-30,7.25,3.35,-10.85
30,2000-01-31,10.55,1.9,-4.15
31,2000-02-01,0.0,4.15,-6.9
32,2000-02-02,0.0,3.35,-5.55
33,2000-02-03,0.0,2.5,-3.3000000000000003
34,2000-02-04,0.0,4.45,-5.0
35,2000-02-05,0.75,4.7,0.5499999999999998
36,2000-02-06,0.0,5.3,-4.449999999999998
37,2000-02-07,0.0,8.35,-3.05
38,2000-02-08,0.0,11.15,-3.6
39,2000-02-09,0.0,8.600000000000001,-1.6500000000000004
40,2000-02-10,0.0,13.9,-5.800000000000002
41,2000-02-11,0.0,15.85,-0.55
42,2000-02-12,0.0,14.15,-3.65
43,2000-02-13,0.0,0.55,-6.4
44,2000-02-14,3.45,10.85,-1.1
45,2000-02-15,0.0,18.05,0.2500000000000001
46,2000-02-16,0.15,14.15,-1.95
47,2000-02-17,0.0,18.6,-2.75
48,2000-02-18,12.95,5.55,-3.35
49,2000-02-19,14.0,9.7,0.55
50,2000-02-20,0.0,11.1,0.0
51,2000-02-21,0.0,9.7,2.5
52,2000-02-22,0.0,12.25,2.25
53,2000-02-23,0.0,15.55,-0.2500000000000001
54,2000-02-24,0.0,19.15,8.65
55,2000-02-25,0.0,24.7,5.85
56,2000-02-26,0.0,25.55,5.85
57,2000-02-27,1.25,13.6,6.4
58,2000-02-28,25.9,18.65,0.2999999999999998
59,2000-02-29,0.0,15.85,1.7
60,2000-03-01,0.25,20.25,6.95
61,2000-03-02,0.0,17.75,0.0
62,2000-03-03,0.0,12.25,3.1
63,2000-03-04,0.0,13.6,3.6
64,2000-03-05,0.0,17.8,0.6
65,2000-03-06,0.0,19.15,0.3
66,2000-03-07,0.0,20.25,-0.8500000000000001
67,2000-03-08,0.0,26.1,-0.2500000000000001
68,2000-03-09,0.0,29.7,8.05
69,2000-03-10,0.15,26.15,8.9
70,2000-03-11,1.65,22.200000000000006,7.800000000000002
71,2000-03-12,7.5,14.2,0.8000000000000003
72,2000-03-13,0.0,10.0,1.4
73,2000-03-14,0.25,13.9,0.0
74,2000-03-15,0.0,18.9,9.4
75,2000-03-16,0.0,21.95,9.7
76,2000-03-17,5.1,20.55,3.9
77,2000-03-18,0.0,8.600000000000001,-4.7
78,2000-03-19,0.0,6.949999999999998,-1.95
79,2000-03-20,0.0,8.850000000000003,2.2
80,2000-03-21,27.3,8.9,3.6
81,2000-03-22,30.35,7.5,4.15
82,2000-03-23,0.4,13.3,5.55
83,2000-03-24,0.75,19.700000000000006,3.6
84,2000-03-25,3.8,23.35,8.9
85,2000-03-26,3.95,21.95,5.85
86,2000-03-27,2.65,20.85,4.75
87,2000-03-28,20.8,19.450000000000006,4.15
88,2000-03-29,1.75,17.2,2.2
89,2000-03-30,0.0,17.799999999999994,1.95
90,2000-03-31,0.0,18.85,0.3
91,2000-04-01,0.0,19.7,1.15
92,2000-04-02,0.0,21.65,8.05
93,2000-04-03,1.4,23.3,14.45
94,2000-04-04,6.75,24.45,13.9
95,2000-04-05,1.25,16.1,5.550000000000002
96,2000-04-06,0.0,21.1,8.05
97,2000-04-07,0.0,28.05,5.85
98,2000-04-08,1.65,24.7,6.95
99,2000-04-09,24.25,19.75,-4.15
100,2000-04-10,0.5,16.1,5.85
101,2000-04-11,0.0,18.6,8.3
102,2000-04-12,0.5,17.25,6.65
103,2000-04-13,0.0,13.35,0.8500000000000001
104,2000-04-14,0.0,15.0,1.7
105,2000-04-15,1.4,17.25,6.699999999999998
106,2000-04-16,5.0,23.05,12.75
107,2000-04-17,32.0,22.75,12.8
108,2000-04-18,15.65,13.6,6.65
109,2000-04-19,5.1,14.45,6.15
110,2000-04-20,1.15,21.4,6.95
111,2000-04-21,0.75,21.95,9.75
112,2000-04-22,9.3,18.65,7.5
113,2000-04-23,0.0,13.6,7.5
114,2000-04-24,0.25,16.65,10.0
115,2000-04-25,8.0,20.55,8.9
116,2000-04-26,12.3,13.3,5.0
117,2000-04-27,0.0,14.75,5.55
118,2000-04-28,0.0,14.7,8.05
119,2000-04-29,0.0,19.45,6.95
120,2000-04-30,0.0,15.3,14.2
121,2000-05-01,0.0,24.700000000000006,11.95
122,2000-05-02,0.65,26.95,9.2
123,2000-05-03,0.0,24.45,6.4
124,2000-05-04,0.0,26.4,14.7
125,2000-05-05,0.0,30.0,13.05
126,2000-05-06,0.0,32.25,21.65
127,2000-05-07,0.0,34.7,17.5
128,2000-05-08,0.0,34.75,22.25
129,2000-05-09,0.0,35.3,18.6
130,2000-05-10,0.0,33.05,23.65
131,2000-05-11,8.4,32.2,11.15
132,2000-05-12,0.0,30.55,13.85
133,2000-05-13,0.0,34.15,18.85
134,2000-05-14,3.3,34.45,13.6
135,2000-05-15,0.0,26.15,8.05
136,2000-05-16,0.0,23.6,5.85
137,2000-05-17,0.25,25.55,10.55
138,2000-05-18,0.0,28.3,18.05
139,2000-05-19,4.2,29.700000000000006,19.15
140,2000-05-20,4.6000000000000005,24.200000000000006,10.55
141,2000-05-21,2.3,18.05,12.2
142,2000-05-22,9.05,19.450000000000006,12.2
143,2000-05-23,8.65,19.75,13.85
144,2000-05-24,0.9,27.25,15.55
145,2000-05-25,4.15,31.7,15.85
146,2000-05-26,0.0,26.95,11.65
147,2000-05-27,1.9,27.5,13.6
148,2000-05-28,3.05,18.05,13.3
149,2000-05-29,9.75,18.05,12.2
150,2000-05-30,0.0,18.9,8.9
151,2000-05-31,0.0,21.4,11.4
152,2000-06-01,0.0,29.45,11.1
153,2000-06-02,0.0,33.9,19.15
154,2000-06-03,11.2,35.0,19.700000000000006
155,2000-06-04,0.0,25.85,13.35
156,2000-06-05,0.0,24.75,14.15
157,2000-06-06,10.3,20.8,13.9
158,2000-06-07,1.9,22.25,13.05
159,2000-06-08,0.0,28.3,12.2
160,2000-06-09,0.0,31.1,15.85
161,2000-06-10,0.0,34.4,18.3
162,2000-06-11,0.0,36.40000000000001,21.950000000000006
163,2000-06-12,3.7,36.40000000000001,19.75
164,2000-06-13,0.25,30.85,16.65
165,2000-06-14,1.4,22.200000000000006,17.25
166,2000-06-15,0.65,26.95,18.35
167,2000-06-16,20.3,30.0,21.65
168,2000-06-17,0.4,31.95,21.950000000000006
169,2000-06-18,12.3,32.5,23.65
170,2000-06-19,1.9,32.5,20.25
171,2000-06-20,0.15,26.1,16.95
172,2000-06-21,0.0,31.15,17.8
173,2000-06-22,31.9,31.1,18.6
174,2000-06-23,0.0,31.4,18.05
175,2000-06-24,0.0,32.5,19.15
176,2000-06-25,0.0,34.15,22.200000000000006
177,2000-06-26,15.6,34.15,20.25
178,2000-06-27,0.4,33.05,20.85
179,2000-06-28,5.05,30.0,18.6
180,2000-06-29,3.15,31.1,21.1
181,2000-06-30,0.4,29.75,14.7
182,2000-07-01,0.0,30.0,15.0
183,2000-07-02,0.0,31.1,16.7
184,2000-07-03,0.0,34.4,18.3
185,2000-07-04,9.4,33.9,18.3
186,2000-07-05,0.0,32.8,22.2
187,2000-07-06,0.0,32.2,18.3
188,2000-07-07,0.0,31.7,19.4
189,2000-07-08,0.0,28.9,12.8
190,2000-07-09,0.0,28.9,17.8
191,2000-07-10,0.0,33.3,19.4
192,2000-07-11,3.6,34.4,18.9
193,2000-07-12,0.0,34.4,18.3
194,2000-07-13,0.0,34.4,17.2
195,2000-07-14,0.0,27.8,17.2
196,2000-07-15,27.2,31.7,16.1
197,2000-07-16,5.1,27.8,18.3
198,2000-07-17,10.2,28.3,17.2
199,2000-07-18,0.0,31.7,17.8
200,2000-07-19,0.0,29.4,20.0
201,2000-07-20,13.2,34.4,16.1
202,2000-07-21,0.0,31.7,14.4
203,2000-07-22,1.3,31.7,15.6
204,2000-07-23,0.0,29.4,16.7
205,2000-07-24,0.0,28.3,17.2
206,2000-07-25,6.4,21.7,16.1
207,2000-07-26,10.9,26.7,16.7
208,2000-07-27,10.2,22.8,16.1
209,2000-07-28,0.0,27.2,18.3
210,2000-07-29,23.1,31.7,16.7
211,2000-07-30,0.0,31.1,20.0
212,2000-07-31,0.5,34.4,21.1
213,2000-08-01,20.3,31.950000000000006,21.4
214,2000-08-02,14.35,31.95,21.4
215,2000-08-03,3.8,30.3,22.5
216,2000-08-04,6.1,30.0,19.15
217,2000-08-05,3.45,29.15,17.25
218,2000-08-06,10.8,29.15,17.2
219,2000-08-07,9.25,30.0,20.55
220,2000-08-08,13.85,34.2,24.45
221,2000-08-09,0.0,33.849999999999994,24.15
222,2000-08-10,0.0,34.45,21.65
223,2000-08-11,0.0,32.5,21.4
224,2000-08-12,0.0,31.4,18.05
225,2000-08-13,3.45,30.85,17.5
226,2000-08-14,6.199999999999998,26.700000000000006,17.25
227,2000-08-15,1.05,29.450000000000006,21.4
228,2000-08-16,1.15,31.950000000000006,19.450000000000006
229,2000-08-17,0.0,31.95,15.85
230,2000-08-18,2.65,26.35,18.3
231,2000-08-19,0.65,27.2,14.7
232,2000-08-20,0.0,27.25,13.35
233,2000-08-21,0.0,26.4,15.3
234,2000-08-22,0.0,28.05,14.45
235,2000-08-23,0.0,28.35,15.8
236,2000-08-24,0.0,29.75,18.05
237,2000-08-25,0.0,30.85,20.0
238,2000-08-26,0.0,28.3,19.45
239,2000-08-27,0.0,30.0,20.3
240,2000-08-28,12.7,29.700000000000006,18.3
241,2000-08-29,8.4,28.85,19.15
242,2000-08-30,1.9,28.05,19.75
243,2000-08-31,5.7,28.9,20.25
244,2000-09-01,2.55,30.55,23.05
245,2000-09-02,2.5,30.25,22.8
246,2000-09-03,4.3,29.4,21.95
247,2000-09-04,16.5,31.65,22.2
248,2000-09-05,4.45,27.75,16.4
249,2000-09-06,0.0,23.05,10.3
250,2000-09-07,0.0,23.6,13.9
251,2000-09-08,0.0,26.15,13.6
252,2000-09-09,0.0,29.450000000000006,15.85
253,2000-09-10,0.0,31.1,18.3
254,2000-09-11,0.0,30.55,19.200000000000006
255,2000-09-12,0.0,30.6,20.3
256,2000-09-13,0.0,30.55,21.4
257,2000-09-14,0.0,30.3,15.85
258,2000-09-15,0.15,28.9,17.5
259,2000-09-16,0.0,24.2,10.25
260,2000-09-17,0.0,22.8,7.75
261,2000-09-18,0.0,25.0,10.0
262,2000-09-19,1.5,25.85,11.7
263,2000-09-20,11.45,26.15,21.1
264,2000-09-21,0.0,31.4,15.55
265,2000-09-22,0.0,26.1,12.8
266,2000-09-23,0.25,25.55,12.5
267,2000-09-24,0.0,26.1,18.9
268,2000-09-25,20.6,27.5,11.4
269,2000-09-26,40.5,21.1,7.25
270,2000-09-27,1.65,16.700000000000006,11.65
271,2000-09-28,0.15,22.75,6.95
272,2000-09-29,0.0,23.05,7.5
273,2000-09-30,0.0,21.65,4.4
274,2000-10-01,0.0,21.95,9.15
275,2000-10-02,0.4,23.35,14.75
276,2000-10-03,0.0,28.35,12.5
277,2000-10-04,0.0,30.0,12.2
278,2000-10-05,0.0,29.700000000000006,16.15
279,2000-10-06,0.25,26.4,17.200000000000006
280,2000-10-07,0.0,25.55,8.9
281,2000-10-08,0.0,15.8,1.95
282,2000-10-09,0.65,13.65,1.95
283,2000-10-10,0.75,14.7,3.6
284,2000-10-11,0.0,19.45,5.85
285,2000-10-12,0.0,22.8,3.6
286,2000-10-13,0.0,25.0,3.05
287,2000-10-14,0.0,26.95,5.85
288,2000-10-15,0.0,27.5,8.600000000000001
289,2000-10-16,0.0,27.25,10.3
290,2000-10-17,0.0,24.45,12.2
291,2000-10-18,0.75,19.700000000000006,15.6
292,2000-10-19,0.0,21.7,12.5
293,2000-10-20,0.0,23.05,5.85
294,2000-10-21,0.0,25.0,12.5
295,2000-10-22,0.0,24.45,9.15
296,2000-10-23,0.0,21.4,7.5
297,2000-10-24,0.0,21.7,4.15
298,2000-10-25,0.0,22.5,11.95
299,2000-10-26,0.0,20.0,10.0
300,2000-10-27,0.0,22.75,8.9
301,2000-10-28,0.0,23.9,12.2
302,2000-10-29,0.0,19.75,0.8500000000000001
303,2000-10-30,0.0,16.15,0.0
304,2000-10-31,0.0,16.950000000000006,3.35
305,2000-11-01,0.0,18.6,2.8
306,2000-11-02,0.0,19.15,0.3
307,2000-11-03,0.0,21.35,3.05
308,2000-11-04,0.0,24.15,9.2
309,2000-11-05,0.0,18.9,5.55
310,2000-11-06,0.0,15.0,1.95
311,2000-11-07,0.4,17.5,-0.2500000000000001
312,2000-11-08,0.0,19.15,4.449999999999998
313,2000-11-09,0.15,18.9,9.75
314,2000-11-10,9.5,20.55,11.1
315,2000-11-11,0.0,16.65,9.15
316,2000-11-12,0.0,15.6,5.0
317,2000-11-13,0.0,15.25,1.4
318,2000-11-14,5.199999999999998,14.45,4.45
319,2000-11-15,11.45,11.4,0.85
320,2000-11-16,0.0,11.4,0.5999999999999996
321,2000-11-17,0.65,7.8,-0.7999999999999999
322,2000-11-18,0.0,11.7,1.35
323,2000-11-19,0.0,8.05,0.0
324,2000-11-20,0.25,7.8,-0.2500000000000002
325,2000-11-21,0.0,10.0,-2.8
326,2000-11-22,0.0,4.4,-5.0
327,2000-11-23,0.0,4.15,-5.0
328,2000-11-24,0.0,5.0,-8.05
329,2000-11-25,1.65,6.1,-3.9
330,2000-11-26,20.1,13.35,1.1
331,2000-11-27,1.15,15.0,4.199999999999998
332,2000-11-28,0.0,13.9,0.3
333,2000-11-29,0.0,11.35,0.8499999999999999
334,2000-11-30,3.8,10.8,-0.55
335,2000-12-01,0.15,9.45,-1.7
336,2000-12-02,0.0,7.5,-3.6
337,2000-12-03,0.0,3.65,-7.25
338,2000-12-04,0.0,4.75,-4.15
339,2000-12-05,0.0,11.1,-6.9
340,2000-12-06,0.0,5.0,-5.6
341,2000-12-07,0.0,4.4,-5.6
342,2000-12-08,0.0,7.75,-1.1
343,2000-12-09,0.0,7.5,-1.35
344,2000-12-10,1.5,6.1,-6.7
345,2000-12-11,0.25,5.25,-3.6
346,2000-12-12,0.5,10.55,-1.1
347,2000-12-13,0.0,6.949999999999998,-6.95
348,2000-12-14,21.6,2.5,-4.45
349,2000-12-15,0.9,4.75,-3.9
350,2000-12-16,17.65,5.800000000000002,-3.35
351,2000-12-17,24.0,15.6,-0.5499999999999999
352,2000-12-18,4.2,11.95,-2.5
353,2000-12-19,0.0,3.6,-2.8
354,2000-12-20,3.05,0.55,-8.3
355,2000-12-21,1.25,0.0,-11.15
356,2000-12-22,0.0,1.4,-7.5
