,date,PRCP,TMAX,TMIN
0,2000-01-01,0.0,5.275,-6.925000000000002
1,2000-01-02,3.86,8.05,-0.55
2,2000-01-03,4.32,7.775000000000001,-2.375
3,2000-01-04,4.08,3.35,-3.2
4,2000-01-05,0.22000000000000006,-2.375,-11.650000000000002
5,2000-01-06,0.3,0.975,-10.0
6,2000-01-07,0.52,0.025000000000000026,-7.625000000000001
7,2000-01-08,0.16,1.25,-10.675
8,2000-01-09,1.52,5.275,-4.999999999999999
9,2000-01-10,2.54,5.0,1.1
10,2000-01-11,1.48,4.325,-2.225
11,2000-01-12,1.28,-0.5499999999999998,-7.050000000000002
12,2000-01-13,4.32,-4.3,-12.9
13,2000-01-14,0.5,-5.7,-16.675
14,2000-01-15,0.0,-1.95,-11.65
15,2000-01-16,0.06,2.075,-9.6
16,2000-01-17,0.6,-7.8,-18.725
17,2000-01-18,2.9599999999999995,-5.275,-13.625
18,2000-01-19,1.18,-4.025,-11.8
19,2000-01-20,3.6,-5.275,-15.7
20,2000-01-21,0.32,-9.025,-20.975
21,2000-01-22,0.5,-10.0,-22.625
22,2000-01-23,1.12,-3.625,-14.475
23,2000-01-24,0.4,-6.125,-19.025
24,2000-01-25,0.52,-5.975,-19.725
25,2000-01-26,0.26,-7.075,-19.450000000000006
26,2000-01-27,0.0,-8.6,-21.675000000000004
27,2000-01-28,0.0,-2.375,-20.025
28,2000-01-29,0.0,-0.15,-19.6
29,2000-01-30,2.9200000000000004,-0.425,-14.175
30,2000-01-31,0.6599999999999999,-2.225,-10.275000000000002
31,2000-02-01,0.92,-1.1,-7.5
32,2000-02-02,0.0,-2.1,-15.275
33,2000-02-03,1.96,-0.2749999999999999,-11.250000000000002
34,2000-02-04,2.94,-0.4,-5.950000000000001
35,2000-02-05,0.075,-0.825,-10.825
36,2000-02-06,0.0,0.8250000000000001,-17.225
37,2000-02-07,0.0,1.95,-9.425
38,2000-02-08,0.0,-1.375,-18.05
39,2000-02-09,0.0,4.575,-11.8
40,2000-02-10,0.825,2.7749999999999995,-4.6
41,2000-02-11,1.12,-1.275,-10.275
42,2000-02-12,0.0,-3.2,-19.3
43,2000-02-13,1.42,-2.65,-12.35
44,2000-02-14,3.225,-4.45,-11.95
45,2000-02-15,0.0,-0.5749999999999998,-14.575
46,2000-02-16,2.6,1.25,-6.950000000000001
47,2000-02-17,0.0,-2.1,-16.95
48,2000-02-18,3.7,-2.075,-13.025
49,2000-02-19,5.525,-1.25,-9.55
50,2000-02-20,0.075,1.125,-8.625
51,2000-02-21,0.0,2.925,-10.675
52,2000-02-22,0.0,9.725,-1.925
53,2000-02-23,0.0,14.875,1.95
54,2000-02-24,2.875,12.375,3.2
55,2000-02-25,4.125,13.025,3.775
56,2000-02-26,0.075,14.15,5.300000000000002
57,2000-02-27,8.54,15.0,3.2
58,2000-02-28,0.0,7.1,-2.95
59,2000-02-29,0.0,12.375,-3.6000000000000005
60,2000-03-01,0.52,13.75,2.775
61,2000-03-02,0.06,5.7,-2.225
62,2000-03-03,0.0,7.475,-7.375
63,2000-03-04,0.0,12.374999999999998,-6.1
64,2000-03-05,0.0,14.875000000000002,-3.2
65,2000-03-06,0.0,14.325,-1.525
66,2000-03-07,0.0,21.25,-0.14999999999999994
67,2000-03-08,0.0,24.450000000000006,6.5
68,2000-03-09,0.06,22.75,2.925
69,2000-03-10,2.64,3.75,-6.1
70,2000-03-11,0.72,-0.425,-8.325000000000001
71,2000-03-12,0.06,4.475,-6.1
72,2000-03-13,0.42,2.375,-5.975
73,2000-03-14,0.5599999999999999,7.9,-3.225
74,2000-03-15,4.619999999999999,10.275,1.55
75,2000-03-16,6.26,9.3,-7.625
76,2000-03-17,0.06,0.8250000000000001,-10.675
77,2000-03-18,0.0,2.4750000000000005,-8.05
78,2000-03-19,2.68,5.7,-2.775
79,2000-03-20,7.160000000000001,5.85,2.225
80,2000-03-21,2.04,6.800000000000002,3.725
81,2000-03-22,0.0,11.1,1.95
82,2000-03-23,0.0,15.25,1.25
83,2000-03-24,0.0,19.15,4.425
84,2000-03-25,1.42,16.675,7.9
85,2000-03-26,0.0,15.3,1.125
86,2000-03-27,7.1,10.575,3.475
87,2000-03-28,0.92,9.175,-8.326672684688674e-17
88,2000-03-29,0.82,7.1,0.7000000000000001
89,2000-03-30,0.0,7.8,-3.475
90,2000-03-31,0.0,15.033333333333333,-2.7999999999999994
91,2000-04-01,0.0,17.625,-1.1249999999999998
92,2000-04-02,0.7799999999999999,14.825,4.8500000000000005
93,2000-04-03,0.5800000000000001,13.9,6.8
94,2000-04-04,0.4,11.65,-0.275
95,2000-04-05,0.0,8.225000000000001,-5.55
96,2000-04-06,0.0,11.675,1.5500000000000005
97,2000-04-07,4.12,9.875,-0.85
98,2000-04-08,8.14,4.175,-3.325
99,2000-04-09,0.0,8.625,-3.05
100,2000-04-10,0.06,5.55,-5.025
101,2000-04-11,2.64,5.125,-1.7999999999999998
102,2000-04-12,1.2,5.4,-4.025
103,2000-04-13,0.0,9.85,-2.625
104,2000-04-14,0.5599999999999999,14.475,-0.55
105,2000-04-15,0.86,20.4,5.85
106,2000-04-16,0.1,15.975,3.475
107,2000-04-17,0.3,7.65,3.075
108,2000-04-18,0.0,11.675,3.05
109,2000-04-19,2.54,15.3,4.175
110,2000-04-20,31.86,11.8,5.125
111,2000-04-21,18.7,10.7,3.2
112,2000-04-22,0.72,13.0,3.7
113,2000-04-23,0.0,17.625,0.8250000000000002
114,2000-04-24,0.0,18.75,4.300000000000002
115,2000-04-25,0.0,17.5,0.8499999999999999
116,2000-04-26,0.0,18.75,0.425
117,2000-04-27,0.0,19.175,5.15
118,2000-04-28,0.0,19.7,1.8
119,2000-04-29,0.0,18.75,3.1750000000000003
120,2000-04-30,0.0,19.175,1.25
121,2000-05-01,7.3599999999999985,18.875,6.525
122,2000-05-02,4.74,18.475,3.1750000000000003
123,2000-05-03,0.0,22.225,5.4
