,date,PRCP,TMAX,TMIN
0,2000-01-01,0.325,3.9,-9.466666666666667
1,2000-01-02,0.0,-2.766666666666667,-14.175
2,2000-01-03,1.775,-4.633333333333333,-19.025
3,2000-01-04,0.45,-15.15,-27.225
4,2000-01-05,0.2,-5.425,-22.925
5,2000-01-06,0.65,-3.325,-12.35
6,2000-01-07,0.0,-6.824999999999998,-19.85
7,2000-01-08,0.0,1.6749999999999998,-9.15
8,2000-01-09,0.0,2.375,-10.125
9,2000-01-10,0.0,3.475,-8.725
10,2000-01-11,0.7,-3.05,-21.950000000000006
11,2000-01-12,0.25,-13.475,-22.5
12,2000-01-13,1.1,-11.125,-22.225
13,2000-01-14,0.0,-6.8,-17.5
14,2000-01-15,0.0,-4.45,-15.95
15,2000-01-16,0.0,-6.525,-19.875
16,2000-01-17,0.0,-9.45,-19.175
17,2000-01-18,0.0,2.5,-16.65
18,2000-01-19,0.075,-2.625,-16.95
19,2000-01-20,0.325,-11.55,-19.05
20,2000-01-21,0.0,-9.6,-23.500000000000004
21,2000-01-22,0.0,-4.7250000000000005,-15.124999999999998
22,2000-01-23,0.0,-10.825,-17.799999999999994
23,2000-01-24,0.0,-6.525,-16.675
24,2000-01-25,0.075,-4.85,-19.025
25,2000-01-26,0.0,-4.325,-18.175
26,2000-01-27,0.16666666666666666,-4.15,-13.75
27,2000-01-28,0.0,-2.075,-9.3
28,2000-01-29,0.0,-2.2,-9.875
29,2000-01-30,0.0,-4.425000000000002,-11.8
30,2000-01-31,0.0,-3.875,-10.7
31,2000-02-01,0.0,-1.4,-11.675
32,2000-02-02,0.0,0.5499999999999998,-9.275
33,2000-02-03,0.0,8.2,-5.574999999999998
34,2000-02-04,0.075,-1.925,-13.6
35,2000-02-05,0.0,0.975,-13.625
36,2000-02-06,0.0,0.29999999999999993,-12.925
37,2000-02-07,0.0,4.3,-17.075
38,2000-02-08,0.0,3.75,-14.725
39,2000-02-09,0.0,11.375,-7.774999999999999
40,2000-02-10,2.675,-4.15,-17.375
41,2000-02-11,0.0,-8.325,-21.25
42,2000-02-12,0.275,-10.4,-21.525
43,2000-02-13,0.0,-7.65,-20.825000000000006
44,2000-02-14,0.65,-10.675,-20.275
45,2000-02-15,1.7,-8.2,-18.35
46,2000-02-16,0.075,-7.350000000000001,-17.775
47,2000-02-17,0.2,-7.225,-15.55
48,2000-02-18,0.0,-3.875,-16.65
49,2000-02-19,0.0,-5.4,-16.5
50,2000-02-20,0.0,-0.975,-14.05
51,2000-02-21,0.0,6.1,-8.625
52,2000-02-22,0.0,10.575,-5.000000000000001
53,2000-02-23,0.0,13.375,-4.025
54,2000-02-24,0.0,11.25,-1.1
55,2000-02-25,0.525,7.65,0.7
56,2000-02-26,16.599999999999998,4.725,-1.25
57,2000-02-27,0.0,4.575,-4.875
58,2000-02-28,0.0,7.925000000000002,-2.375
59,2000-02-29,0.0,10.0,-1.5
60,2000-03-01,0.0,5.7,-4.300000000000002
61,2000-03-02,0.0,6.124999999999999,-4.8500000000000005
62,2000-03-03,0.0,10.0,-2.625
63,2000-03-04,0.0,13.35,-3.35
64,2000-03-05,0.0,16.925,-1.4
65,2000-03-06,0.0,18.6,1.4
66,2000-03-07,0.0,13.75,-1.1
67,2000-03-08,6.933333333333334,13.625,-4.7
68,2000-03-09,2.975,-2.225,-14.575
69,2000-03-10,0.0,-4.025,-14.025
70,2000-03-11,0.0,0.1499999999999999,-9.000000000000002
71,2000-03-12,1.0,-0.95,-8.625
72,2000-03-13,0.4,0.3999999999999999,-7.624999999999999
73,2000-03-14,0.2,3.175,-7.35
74,2000-03-15,0.075,-0.2999999999999998,-13.6
75,2000-03-16,0.0,-4.725,-12.5
76,2000-03-17,0.16666666666666666,1.25,-9.575
77,2000-03-18,0.16666666666666666,4.325,-6.8
78,2000-03-19,0.0,8.35,-4.175
79,2000-03-20,0.9,10.15,-3.075
80,2000-03-21,1.15,3.475,-3.9
81,2000-03-22,0.0,10.125,-2.4750000000000005
82,2000-03-23,0.0,15.85,-0.7249999999999999
83,2000-03-24,6.725,13.9,1.133333333333333
84,2000-03-25,0.9,10.125,-2.5250000000000004
85,2000-03-26,0.0,12.75,0.275
86,2000-03-27,0.0,10.95,-0.5499999999999999
87,2000-03-28,0.0,6.225,-7.625
88,2000-03-29,0.075,9.45,-2.775
89,2000-03-30,0.15,12.225,-1.8
90,2000-03-31,0.3333333333333333,11.95,0.2999999999999998
91,2000-04-01,0.075,9.3,-3.6
92,2000-04-02,3.1666666666666665,12.075,0.14999999999999994
93,2000-04-03,0.575,8.225,-4.45
94,2000-04-04,0.0,5.550000000000002,-6.125
95,2000-04-05,0.575,16.125,-0.1250000000000001
96,2000-04-06,4.075,11.1,-6.375
97,2000-04-07,0.15,3.6,-5.125000000000001
98,2000-04-08,0.1,5.975,-5.0
99,2000-04-09,0.0,14.025,-3.9
