,date,PRCP,TMAX,TMIN
0,2000-01-01,0.0,19.175,0.1499999999999999
1,2000-01-02,0.0,21.4,6.375
2,2000-01-03,7.980000000000001,17.625,4.6
3,2000-01-04,0.26,10.275,-3.875
4,2000-01-05,0.0,9.725,-5.550000000000002
5,2000-01-06,0.0,13.2,-1.65
6,2000-01-07,0.2,11.25,-1.95
7,2000-01-08,4.98,11.125,-1.525
8,2000-01-09,0.0,15.55,1.775
9,2000-01-10,0.0,17.075,-1.9500000000000004
10,2000-01-11,0.0,20.125,-0.55
11,2000-01-12,0.0,19.425,1.275
12,2000-01-13,0.0,18.225,2.75
13,2000-01-14,0.0,11.25,-3.075
14,2000-01-15,0.0,15.733333333333334,-3.333333333333333
15,2000-01-16,0.0,20.55,3.625
16,2000-01-17,0.06,15.0,6.65
17,2000-01-18,0.0,12.749999999999998,3.6
18,2000-01-19,0.0,15.425,1.1
19,2000-01-20,0.0,15.825,-3.2
20,2000-01-21,0.0,9.45,-0.3999999999999998
21,2000-01-22,0.0,13.9,2.075
22,2000-01-23,0.0,15.275,-1.65
23,2000-01-24,0.26,9.75,-6.375
24,2000-01-25,0.0,6.25,-4.6000000000000005
25,2000-01-26,0.0,1.8000000000000005,-2.225
26,2000-01-27,9.64,-0.975,-4.175
27,2000-01-28,3.45,-1.6666666666666667,-5.2
28,2000-01-29,0.075,-1.1,-9.066666666666665
29,2000-01-30,0.0,5.725,-9.425
30,2000-01-31,0.0,7.5,-5.3
31,2000-02-01,0.0,8.2,-3.6
32,2000-02-02,0.0,7.925000000000002,-7.225
33,2000-02-03,0.0,16.525,-4.575000000000001
34,2000-02-04,0.0,13.9,-0.8250000000000001
35,2000-02-05,0.0,9.875,-3.875
36,2000-02-06,0.0,13.6,-1.95
37,2000-02-07,0.0,17.375,1.1
38,2000-02-08,0.0,18.875,0.2750000000000001
39,2000-02-09,0.0,22.5,2.8
40,2000-02-10,0.0,24.3,5.675000000000002
41,2000-02-11,0.0,19.966666666666672,2.4000000000000004
42,2000-02-12,0.0,12.5,-1.3750000000000002
43,2000-02-13,0.0,15.849999999999998,0.27500000000000024
44,2000-02-14,0.0,11.925,-1.5250000000000004
45,2000-02-15,0.0,19.425,1.525
46,2000-02-16,0.0,22.225,5.125
47,2000-02-17,1.62,12.933333333333335,3.333333333333333
48,2000-02-18,9.34,17.400000000000002,4.266666666666667
49,2000-02-19,0.0,9.066666666666668,-0.9
50,2000-02-20,0.0,14.433333333333332,-2.4
51,2000-02-21,0.0,18.325,5.7
52,2000-02-22,5.0200000000000005,22.200000000000006,11.125
53,2000-02-23,11.18,20.675,10.0
54,2000-02-24,2.04,23.325,8.2
55,2000-02-25,11.239999999999998,24.45,12.225
56,2000-02-26,0.0,18.45,5.4
57,2000-02-27,0.0,18.475,2.775
58,2000-02-28,0.0,21.275,5.3
59,2000-02-29,11.68,23.75,9.175
60,2000-03-01,0.0,21.675,5.449999999999998
61,2000-03-02,8.059999999999999,17.65,5.85
62,2000-03-03,0.26,12.5,4.025
63,2000-03-04,0.0,15.0,0.3333333333333333
64,2000-03-05,0.0,19.275,3.9
