,date,PRCP,TMAX,TMIN
0,2000-01-01,0.0,-1.1,-12.2
1,2000-01-02,0.0,6.1,-1.7
2,2000-01-03,7.6,10.6,2.8
3,2000-01-04,9.4,10.6,-1.7
4,2000-01-05,4.2,11.1,-6.7
5,2000-01-06,0.0,-2.8,-13.3
6,2000-01-07,0.0,0.0,-8.3
7,2000-01-08,0.8,2.8,-7.2
8,2000-01-09,0.0,1.7,-8.9
9,2000-01-10,0.0,3.9,-1.7
10,2000-01-11,14.65,6.7,2.2
11,2000-01-12,0.25,7.2,-0.6
12,2000-01-13,0.0,1.1,-8.3
13,2000-01-14,0.0,-7.8,-16.7
14,2000-01-15,0.0,-11.1,-18.9
15,2000-01-16,0.0,-5.0,-18.9
16,2000-01-17,0.25,1.7,-22.2
17,2000-01-18,0.25,-18.9,-23.9
18,2000-01-19,0.0,-14.4,-23.9
19,2000-01-20,0.0,-9.4,-21.1
20,2000-01-21,0.75,-5.6,-13.9
21,2000-01-22,0.0,-12.8,-25.0
22,2000-01-23,0.0,-11.7,-28.3
23,2000-01-24,0.0,-6.1,-27.8
24,2000-01-25,0.0,1.7,-15.6
25,2000-01-26,21.1,-6.7,-8.3
26,2000-01-27,0.5,-3.9,-15.6
27,2000-01-28,0.0,-12.8,-26.7
28,2000-01-29,0.0,-12.8,-30.6
29,2000-01-30,0.0,-6.7,-30.6
30,2000-01-31,7.35,-1.1,-24.4
31,2000-02-01,0.5,1.1,-4.4
32,2000-02-02,1.5,2.2,-13.3
33,2000-02-03,0.0,-10.0,-32.2
34,2000-02-04,0.0,-5.6,-32.8
35,2000-02-05,0.0,-5.6,-26.7
36,2000-02-06,0.3,0.0,-26.7
37,2000-02-07,0.0,-1.7,-17.2
38,2000-02-08,0.15,1.1,-27.8
39,2000-02-09,0.0,-5.6,-27.8
40,2000-02-10,0.0,1.7,-8.3
41,2000-02-11,0.4,0.0,-9.4
42,2000-02-12,0.25,2.2,-21.1
43,2000-02-13,0.0,-5.6,-22.2
44,2000-02-14,9.4,0.0,-15.6
45,2000-02-15,22.1,-1.1,-6.1
46,2000-02-16,0.3,1.1,-11.1
47,2000-02-17,0.25,0.6,-13.9
48,2000-02-18,0.0,-6.7,-25.6
49,2000-02-19,13.7,-6.7,-18.3
50,2000-02-20,0.9,-3.9,-11.1
51,2000-02-21,0.0,3.3,-17.8
52,2000-02-22,0.0,2.8,-17.2
53,2000-02-23,0.0,7.2,-6.7
54,2000-02-24,0.0,8.3,2.8
55,2000-02-25,7.35,8.9,1.7
56,2000-02-26,1.15,3.9,1.1
57,2000-02-27,0.0,8.3,2.8
58,2000-02-28,12.95,12.2,2.8
59,2000-02-29,3.55,6.1,-1.1
60,2000-03-01,0.0,4.4,-6.1
61,2000-03-02,0.5,7.8,-3.9
62,2000-03-03,0.75,6.1,-1.7
63,2000-03-04,0.25,0.0,-6.1
64,2000-03-05,0.0,6.1,-2.8
65,2000-03-06,0.15,5.6,-5.0
66,2000-03-07,0.0,6.1,-6.1
67,2000-03-08,0.0,12.2,-3.3
68,2000-03-09,0.0,16.1,-1.7
69,2000-03-10,2.8,18.9,-6.1
70,2000-03-11,0.0,-2.8,-6.7
71,2000-03-12,8.75,0.0,-3.3
72,2000-03-13,0.5,0.6,-8.9
73,2000-03-14,0.0,0.6,-10.0
74,2000-03-15,0.0,8.9,-2.2
75,2000-03-16,3.05,9.4,3.3
76,2000-03-17,7.35,10.0,-6.1
77,2000-03-18,0.0,-3.3,-14.4
78,2000-03-19,0.0,0.0,-14.4
79,2000-03-20,0.0,7.8,-8.3
80,2000-03-21,0.0,11.7,-3.3
81,2000-03-22,0.0,14.4,-3.3
82,2000-03-23,0.0,13.9,-0.6
83,2000-03-24,0.0,17.2,-2.8
84,2000-03-25,0.0,14.4,-4.4
85,2000-03-26,4.85,16.7,0.0
86,2000-03-27,0.0,11.7,-2.2
87,2000-03-28,0.25,15.0,2.8
88,2000-03-29,12.05,11.7,1.1
89,2000-03-30,5.1000000000000005,9.4,2.8
90,2000-03-31,1.0,8.3,-1.1
91,2000-04-01,0.0,10.0,-3.3
